ax,ay,bx,by
526,1039,510,700
526,1039,509,682
526,1039,497,682
526,1039,497,682
495,999,483,689
495,999,472,716
495,999,466,751
446,981,455,803
446,981,450,857
397,974,438,927
397,974,436,993
339,975,434,1066
339,975,436,1130
283,993,439,1190
283,993,449,1239
243,1031,461,1282
243,1031,476,1316
225,1090,497,1339
225,1090,521,1355
237,1152,549,1359
237,1152,579,1355
282,1206,610,1342
282,1206,642,1325
345,1242,670,1299
345,1242,693,1269
421,1256,711,1235
421,1256,719,1199
496,1245,716,1168
496,1245,699,1138
554,1205,671,1111
554,1205,629,1090
590,1152,576,1078
590,1152,513,1073
607,1087,446,1072
607,1087,378,1083
605,1034,314,1095
605,1034,258,1111
605,1034,213,1137
605,1034,,
605,1034,,
605,1034,,
605,1034,,
605,1034,,
568,1096,,
568,1096,,
582,1153,,
582,1153,,
607,1203,,
607,1203,,
640,1243,,
640,1243,,
640,1243,,
690,1279,,
690,1279,,
690,1279,,
750,1273,,
750,1273,,
795,1235,,
795,1235,,
